sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn,N,C,C/N
201,0,0.0,2881.406160287081,8142.5456722488025,2513.608923444976,42153.36588038278,3652.5346985645933,109.74912200956936,3015.150610047847,14.685665071770334,41.30343301435406,4.2298,43.8664,10.371979999999999
201,2,0.0,3173.494122807017,9574.925076754385,2799.959835526315,43178.5692872807,3654.194583333333,106.8223245614035,2846.723256578947,12.034703947368419,41.949539473684204,4.2298,43.8664,10.371979999999999
201,3,0.0,2294.137673716012,8840.693791540785,3724.7516163141995,43429.86086706948,2909.445716012084,65.50346827794561,1569.050670694864,0.0,27.899625377643503,4.2298,43.8664,10.371979999999999
201,0,0.0,3056.8436335877864,8923.73303816794,2567.095832061069,43905.47244274809,3503.998900763359,102.69975572519085,2763.7380000000003,9.288091603053436,39.67341984732825,4.2298,43.8664,10.371979999999999
202,0,0.0,2639.5766666666664,0.0,0.0,42699.742666666665,3285.979333333333,82.956,2397.844666666667,0.0,34.49066666666667,4.0836,43.589999999999996,10.67416
202,1,0.0,3039.1572983870965,9119.254084677419,2526.5157258064514,44042.62050403225,3292.2282096774193,87.85145967741934,2241.6799072580643,6.080411290322581,38.159822580645155,4.0836,43.589999999999996,10.67416
202,2,0.0,2833.468008379888,9529.13382122905,2275.943173184358,44952.19887709497,3162.2089078212293,82.2577625698324,2199.198276536313,0.0,33.94764804469274,4.0836,43.589999999999996,10.67416
203,0,0.0,0.0,0.0,0.0,1301.5152499999997,110.79887499999998,0.0,192.37062499999996,0.0,0.0,3.8078000000000003,46.55,12.22542
203,1,0.0,2572.6148571428566,6932.286586466164,2551.8637794486212,30534.173273182954,3193.072080200501,43.966345864661655,746.2606315789473,0.0,38.51918796992481,3.8078000000000003,46.55,12.22542
203,2,0.0,2440.266121037464,7024.106731988472,2442.971515850144,31124.214622478383,3097.0758616714697,42.08391930835735,761.2680403458213,0.0,27.204247838616713,3.8078000000000003,46.55,12.22542
204,0,0.0,2364.177722772277,5591.201683168317,2115.877904290429,30251.689636963692,3310.1982838283825,42.28610561056105,748.3941749174918,0.0,29.705115511551156,3.8415999999999997,46.4116,12.08134
204,1,0.0,2387.980650753768,7250.639087939697,2513.560138190954,30296.970859296474,3059.620733668341,42.166334170854256,737.3197311557788,0.0,28.767685929648234,3.8415999999999997,46.4116,12.08134
204,2,0.0,2583.395204819277,8231.550126506025,2877.7518253012045,30655.656072289155,3103.711084337349,44.220650602409634,704.3275120481927,1.5497891566265058,32.02897590361445,3.8415999999999997,46.4116,12.08134
205,0,0.0,2422.6489968847354,5651.475489096575,2182.2447601246113,30496.59471651091,3320.5423551401877,43.305694704049856,745.4177943925235,0.0,28.65091588785047,3.8375999999999997,46.3636,12.08118
205,1,0.0,2454.158905982906,8306.281042735043,2645.5369059829063,30569.92170940171,3127.6250769230774,42.231042735042735,770.2704273504273,0.0,28.10446153846154,3.8375999999999997,46.3636,12.08118
205,2,0.0,2614.7878308080803,8470.152580808079,2783.2142702020196,30920.74413636363,3233.6570732323225,43.34695959595959,729.4562146464646,0.0,30.812898989898983,3.8375999999999997,46.3636,12.08118
206,0,0.0,2403.705935309973,5794.372932614555,2357.4548140161723,29932.18399730458,3389.044150943396,44.62827493261456,732.4446576819407,17.98654716981132,33.80929919137466,3.8939999999999997,46.616,11.971639999999999
206,1,0.0,2557.824560301507,8336.579459798993,2743.750628140703,30164.116645728638,3394.5572864321603,41.73850502512562,705.4984924623114,25.906658291457283,32.972110552763816,3.8939999999999997,46.616,11.971639999999999
206,2,0.0,2685.9972413793103,8535.376551724139,2858.058620689655,30539.18482758621,3433.3262068965514,45.04965517241379,786.128275862069,17.92551724137931,33.37448275862069,3.8939999999999997,46.616,11.971639999999999
207,0,0.0,2485.958950920245,5992.19272392638,1845.4428404907974,31585.77741104294,3359.0964907975454,37.20712883435582,475.08276073619624,1.0762392638036808,24.75350306748466,3.6566666666666667,48.080333333333336,13.150066666666666
207,1,0.0,2725.9589696969697,8993.015757575758,2324.1961212121214,32326.96878787879,3273.6038787878792,37.710121212121216,505.4983030303031,3.0011515151515153,25.44454545454546,3.6566666666666667,48.080333333333336,13.150066666666666
207,2,0.0,2651.6667175572516,8594.082061068702,2229.3584987277354,31236.0810178117,3216.725190839694,36.30119592875318,504.4703562340966,1.1626717557251907,24.286921119592872,3.6566666666666667,48.080333333333336,13.150066666666666
208,0,0.0,2464.47024,6089.59766,1907.6889200000003,31492.42134,3341.1199800000004,37.87726000000001,479.01052000000004,1.7282400000000002,25.203500000000002,3.1118,42.3418,13.607220000000002
208,1,0.0,2565.7791388286337,8698.764978308027,2360.5078242950112,30571.16467462039,3088.951488069414,35.59683080260304,463.5448503253796,2.8073210412147507,25.827353579175707,3.1118,42.3418,13.607220000000002
208,2,0.0,2280.806490654206,8812.735109813086,2296.1797219626174,30063.38274065421,2914.377299065421,34.25688551401869,455.26553504672904,7.020845794392525,26.50974532710281,3.1118,42.3418,13.607220000000002
209,0,0.0,2471.348656565656,6129.511093434341,1959.6524217171714,31248.170244949488,3442.4361010101,36.99623737373736,439.6173585858585,2.8066111111111103,35.210212121212116,2.9544,41.001999999999995,13.87718
209,1,0.0,2638.7699152542377,8603.754502118645,2327.790836864407,31465.269014830512,3193.596080508475,36.19862288135594,441.84258474576274,1.316313559322034,24.351800847457632,2.9544,41.001999999999995,13.87718
209,2,0.0,2527.428256410257,8836.092632478632,2073.070760683761,31102.86272649573,3200.462854700855,35.1894188034188,527.2498632478632,0.0,22.62176923076923,2.9544,41.001999999999995,13.87718
210,0,0.0,2394.9500054794516,6053.149084931506,1847.0630465753425,30493.19105753424,3267.9764383561637,35.65065205479452,436.65139726027394,1.51998904109589,25.010728767123283,2.882,39.894,13.844299999999999
210,1,0.0,2560.806536842105,8919.63562105263,2177.647547368421,31009.815694736837,3221.23727368421,35.47768421052631,488.36396842105256,0.0,25.925999999999995,2.882,39.894,13.844299999999999
210,2,0.0,2550.939999999999,8967.754838709676,2060.2630498533717,31540.115894428145,3202.682346041055,37.86181818181817,586.0948387096772,0.0,23.20563049853372,2.882,39.894,13.844299999999999
211,0,0.0,3129.2083002421314,7903.996038740922,1793.452677966102,25008.694430992742,3674.0624309927366,41.86477481840195,282.64843583535117,0.0,32.928726392251825,2.6066,39.8238,15.2792
211,1,0.0,3149.9419009900985,11552.870613861385,2233.585821782178,25248.976293069303,3354.2846811881186,42.14312871287128,341.667706930693,0.0,32.686621782178214,2.6066,39.8238,15.2792
211,2,0.0,3363.020148491879,11340.32260788863,2105.326598607888,25347.52722041763,3524.5194338747096,41.56581902552203,380.04735962877027,0.0,31.442338747099768,2.6066,39.8238,15.2792
211,3,0.0,3306.8868279569897,7563.752053763442,2467.5736810035846,46911.26126881721,4173.03847670251,114.3250465949821,3234.736569892473,16.730494623655915,43.91754838709678,2.6066,39.8238,15.2792
212,0,0.0,3518.1400685358253,9041.73768224299,1976.8263302180687,26000.48348598131,4019.6635171339562,50.4227507788162,448.87382554517137,20.99622429906542,49.150252336448595,3.0888,40.6712,13.14968
212,1,0.0,3332.492030985916,12669.468985915495,2354.0606619718315,25687.01145352113,3675.638577464789,46.5160647887324,478.2025352112676,16.954453521126762,44.0525971830986,3.0888,40.6712,13.14968
212,2,0.0,3280.5443462603876,12471.974265927978,2317.3650000000002,25286.59616066482,3618.341842105263,45.790961218836564,470.74819944598335,16.69016343490305,43.3658947368421,3.0888,40.6712,13.14968
213,0,0.0,2939.4815303030296,9215.347642424242,2613.4705,46803.95809999999,2930.1010242424236,85.34722727272727,1553.7808727272723,3.229354545454545,27.98773939393939,3.3312,36.949,11.09588
213,1,0.0,3065.863741935483,12757.998537634407,2997.9005591397845,47693.024258064506,2685.9384086021505,76.18004301075268,1330.7135483870966,0.0,26.4610752688172,3.3312,36.949,11.09588
213,2,0.0,2623.1040839160837,10915.53992074592,2564.9558694638695,40805.39033566433,2298.0460326340326,65.17842890442891,1138.5372727272727,0.0,22.639673659673658,3.3312,36.949,11.09588
214,0,0.0,2849.043708609271,9020.133651214128,2629.9207770419425,45965.01743046357,2666.2370331125826,76.7542958057395,1260.3746048565122,1.8937924944812363,27.738490066225165,3.2439999999999998,36.6452,11.29582
214,1,0.0,3056.7430568720383,12811.597890995263,3477.042168246446,49761.57941943129,2621.0268601895737,73.78176540284362,1437.8267417061613,0.6117890995260664,27.89758293838863,3.2439999999999998,36.6452,11.29582
214,2,0.0,2872.2569181636723,12810.228614770458,3615.199696606786,46446.440510978035,2505.7508942115765,72.92880239520957,1388.3368183632733,1.862011976047904,29.171520958083825,3.2439999999999998,36.6452,11.29582
214,3,0.0,2298.4265312499997,3769.535036458333,785.5714166666666,17548.672981770833,2644.477041666666,28.09363020833333,316.77537239583324,0.0,19.42923958333333,3.2439999999999998,36.6452,11.29582
215,0,0.0,2565.3429356725146,7944.620122807018,2507.114339181287,32687.593116959066,2810.7988654970763,52.10712865497076,574.3728479532164,4.180514619883041,20.753269005847955,3.3729999999999998,39.5906,11.73894
215,1,0.0,2811.4968842105263,11563.858063157895,3742.178315789474,32924.757431578946,2709.8869894736845,56.94501052631579,681.9273684210527,4.672968421052631,21.626063157894738,3.3729999999999998,39.5906,11.73894
215,2,0.0,2780.0106623376623,11537.805623376624,3557.4073090909087,32618.747633766234,2719.100688311688,51.11141298701298,671.4662571428571,1.7213688311688309,19.597122077922076,3.3729999999999998,39.5906,11.73894
216,0,0.0,2574.637342939482,7892.958991354468,2493.297965417868,32302.587775216143,2832.6944783861677,51.235123919308364,570.9676945244958,0.1447319884726225,19.53881844380404,3.3374,39.552,11.85124
216,1,0.0,2794.8249698375867,11402.18000928074,3598.112032482598,32915.43072853828,2692.812589327146,51.24792575406032,657.1579535962877,0.36260324825986073,19.459707656612526,3.3374,39.552,11.85124
216,2,0.0,2782.209076744186,11374.194393023257,3629.7112837209306,32871.84656976745,2720.117476744186,51.0210046511628,645.7045069767443,0.2406651162790698,19.734539534883723,3.3374,39.552,11.85124
217,0,0.0,2646.2313194029844,6981.977250746267,1580.329823880597,27377.0357522388,2868.5003522388056,32.99540298507462,316.60588955223875,0.0,11.09845373134328,2.666,39.3638,14.767619999999999
217,1,0.0,2942.4055194174757,6577.17831553398,1660.9852427184464,27484.457082524266,2999.0978300970874,33.44349029126214,386.65150485436885,0.0,11.562247572815533,2.666,39.3638,14.767619999999999
217,2,0.0,3005.0493461538463,6926.005423076923,1705.2745384615384,28704.954576923075,3054.3145,31.75976923076923,396.99711538461537,0.0,12.378807692307692,2.666,39.3638,14.767619999999999
218,0,0.0,2642.141733850129,7203.840759689923,1727.4181989664085,27458.86366149871,2894.266992248062,33.92230749354005,316.30259689922485,0.0,12.049622739018089,2.6658,39.4564,14.80122
218,1,0.0,2689.435211881188,7128.544491089107,1881.1607524752474,27808.409869306925,2756.919421782178,31.335611881188115,326.1566138613861,0.20480792079207918,13.312514851485147,2.6658,39.4564,14.80122
218,2,0.0,2887.1667343749996,7133.739921875,1665.9591666666665,28359.303765624998,2991.694854166666,29.88449479166666,387.41664062499996,0.0,11.358812499999999,2.6658,39.4564,14.80122
