B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
24.909256000800713,743.94,931.05,172.57396388892116,703.62,933.42,324.51,7523.01,24.0,26.29
24.359019334705476,628.67,918.83,175.72481842767374,773.41,906.81,307.92,7289.38,26.0,26.22
117.4,784.18,1013.55,163.5861035669408,974.92,1025.92,345.87,7087.84,23.0,26.93
25.60170069477072,562.83,975.14,190.69269733934084,657.01,914.91,350.1,7725.97,26.0,26.54
91.06,514.44,924.51,210.96693048042712,1419.95,925.17,338.33,7824.35,27.0,26.02
17.68317647967984,695.47,890.9,115.33047539901312,628.63,821.75,266.73,5361.59,26.0,25.19
20.583822288514497,434.15,778.28,154.25136597848146,532.72,763.1,272.25,6198.13,28.0,24.57
20.95720135474602,369.89,848.56,162.10442138801594,401.85,766.26,322.29,6383.61,26.0,24.63
20.376037179678352,733.77,884.35,135.2019114686068,684.37,848.41,277.41,6153.92,23.0,24.81
24.14230144772592,565.75,836.33,176.3153264966641,626.05,834.42,282.44,7271.42,30.0,24.78
25.830865926574123,459.62,897.01,197.42407665727112,506.36,876.87,347.02,7829.4,21.0,25.97
18.155772147270312,586.22,1005.26,128.23251831150128,670.68,864.37,257.73,5483.04,29.0,22.41
21.88230494831172,386.72,965.54,171.11908872743436,596.71,849.51,266.74,6591.02,30.0,22.79
23.964602687932206,432.92,863.83,182.7109220000146,517.95,941.69,330.11,7227.84,27.0,24.19
17.286006818146216,677.9,811.02,110.87602003115614,565.82,914.14,201.99,5230.24,26.0,17.78
20.949647451613362,434.74,706.26,154.9627009213901,490.29,891.32,200.48,6289.37,27.0,18.67
19.96643622096345,273.98,811.45,158.4627096410024,344.97,870.62,222.5,6060.42,23.0,16.66
17.3836693241738,691.17,776.97,110.1189855556004,596.07,954.5,189.77,5230.21,27.0,16.92
21.176278305032604,449.5,763.44,156.7650729999511,504.49,921.37,197.12,6367.78,26.0,17.21
19.830508933718033,232.68,694.47,157.85434696176353,331.79,876.92,212.3,5977.22,25.0,16.01
20.67970534550108,695.19,745.98,138.57870657022175,827.73,831.87,274.91,6119.4,26.0,22.69
24.19029364402453,516.09,701.67,177.45195778725795,560.52,803.75,285.13,7269.88,24.5,22.7
23.389657135368815,417.71,848.56,179.1128585844126,406.09,786.77,320.64,7129.97,26.0,21.62
25.48083938475256,1064.81,879.98,154.7538242934044,735.03,1110.07,361.19,7718.29,30.0,29.31
32.242867514395726,788.12,904.43,228.85388083087537,651.48,1103.82,376.44,9751.96,26.0,27.67
33.03310842943476,789.13,869.07,234.02321046985284,503.49,1109.74,441.55,10056.16,29.0,27.45
18.493783605430426,430.22,782.64,137.1891547774164,594.24,811.45,219.15,5524.23,25.0,17.96
22.11076256626409,355.26,756.02,171.43647382685484,488.62,760.96,222.99,6659.24,28.0,18.24
22.570945181410018,229.96,693.16,181.23307653831964,303.65,784.74,256.15,6838.21,23.0,17.4
25.452547651262577,885.19,768.24,164.80755504964685,733.52,1004.9,308.49,7646.83,24.0,25.0
24.43186615673094,821.98,793.12,161.13353455142206,641.42,890.36,270.19,7396.96,23.0,23.67
23.714674443584123,674.37,1048.91,167.67418340531844,311.04,884.25,321.0,7394.19,22.0,22.85
24.573717680442115,393.27,755.15,189.17844036584455,557.17,850.23,235.6,7365.88,27.0,19.43
115.17,387.79,727.65,200.3333483602268,733.16,801.5,214.61,7642.52,26.0,18.85
24.21642148638441,340.49,888.71,191.23264083509616,291.64,768.85,247.73,7438.97,30.0,17.49
24.023978090418666,460.26,799.23,180.35973182632637,626.38,1015.95,372.87,7161.51,30.0,23.47
23.6815623827035,472.77,858.16,178.1918706060901,588.61,915.34,334.44,7117.76,29.0,23.29
26.02659300492797,355.94,752.09,209.41058462355372,1880.61,917.5,391.2,7082.38,28.0,21.44
23.310926475370103,383.13,1339.62,189.6288831129526,542.79,828.3,229.52,7175.86,32.0,18.93
29.347404702392108,963.57,1222.64,199.91545273733206,815.09,1093.82,585.88,8928.42,30.0,39.65
29.57667487869249,738.5,226.87,201.61032425020696,1265.08,1011.7,674.29,8396.81,31.0,38.06
23.644436096799875,725.67,846.81,158.82456444639973,623.45,1338.83,422.09,7076.99,23.0,45.3
27.162129622086944,1070.2,813.64,165.15173728081524,702.91,1410.1,440.62,8172.89,30.0,52.46
26.407190188620863,727.42,760.38,181.59617002102667,910.15,1325.36,495.57,7738.6,25.0,49.31
19.19458481393949,235.0,824.99,155.18477847626315,438.42,877.48,163.59,5771.09,25.0,18.11
21.487873670129524,397.31,983.43,166.65841490597327,439.76,857.39,167.24,6564.19,25.0,20.08
21.302854502994588,363.9,740.74,163.9753624463716,614.79,840.47,186.0,6332.21,28.0,19.56
24.75790482645269,322.09,928.44,196.83034929712744,537.18,1074.7,356.97,7426.08,27.0,23.7
28.047026355122636,680.88,796.18,198.838818780457,600.92,1097.21,373.57,8441.71,26.5,27.78
30.242031787134568,546.13,797.92,225.733124979512,659.43,1153.04,441.8,9030.87,26.0,26.5
32.34055240933172,1060.05,41.62,195.61376951486693,738.76,1400.25,589.63,9477.76,31.0,37.8
36.06890118517302,1485.94,1159.34,218.671678692056,836.55,1462.6,610.55,11015.62,26.0,43.48
36.64219060351932,1403.82,199.89,212.22648932663813,884.15,1463.04,719.02,10835.64,28.0,41.74
24.390448424246326,520.79,763.44,179.23178348843066,593.45,934.3,360.24,7309.47,27.0,23.87
27.75169617057252,766.23,883.48,193.3479319040776,662.07,994.85,376.61,8387.49,32.0,27.81
27.830188314691274,675.47,887.84,199.76070118602087,624.03,995.81,451.2,8406.11,26.0,28.68
25.528616204881786,456.74,935.42,195.53179865590735,519.06,926.73,397.24,7732.08,27.0,24.12
30.371098960700614,637.22,919.27,223.86651661980036,589.68,971.9,408.76,9201.6,27.0,27.43
30.69750899481945,531.14,921.45,232.79272924247564,469.94,992.87,494.9,9329.99,30.0,26.39
28.22312421065208,606.88,861.21,181.0,639.43,1168.39,429.37,8463.83,27.0,24.3
31.527279436382454,914.54,764.75,211.7720856197046,635.4,1179.06,439.14,9517.67,27.0,28.05
