B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
91.06,514.44,924.51,226.2,1419.9499999999998,925.17,338.33,7824.35,27.0,26.02
9.974,695.47,890.9,429.0,628.63,821.75,266.73,5361.59,26.0,25.19
35.141999999999996,434.15,778.28,279.6,532.72,763.1,272.25,6198.13,28.0,24.57
62.112,369.89,848.56,399.8,401.85,766.26,322.29,6383.61,26.0,24.63
35.588,733.77,884.35,393.16599999999994,684.37,848.41,277.41,6153.92,23.0,24.81
78.27800000000002,565.75,836.33,240.0,626.05,834.42,282.44,7271.42,30.0,24.78
77.492,459.62,897.01,248.60000000000002,506.36,876.87,347.02,7829.4,21.0,25.97
13.956,586.22,1005.26,386.40000000000003,670.68,864.37,257.73,5483.04,29.0,22.41
62.112,386.72,965.54,325.0,596.71,849.51,266.74,6591.02,30.0,22.79
78.27800000000002,432.91999999999996,863.83,240.0,517.95,941.69,330.11,7227.84,27.0,24.19
13.642000000000001,677.9,811.02,182.522,565.82,914.14,201.99,5230.24,26.0,17.78
34.828,434.74,706.26,219.20000000000002,490.28999999999996,891.32,200.48,6289.37,27.0,18.67
34.828,273.98,811.45,237.8,344.97,870.62,222.5,6060.42,23.0,16.66
17.116,691.17,776.97,202.92200000000003,596.07,954.5,189.77,5230.21,27.0,16.92
34.828,449.5,763.44,223.20000000000002,504.49,921.37,197.12,6367.78,26.0,17.21
34.828,232.67999999999995,694.47,236.0,331.79,876.92,212.3,5977.22,25.0,16.01
35.588,695.19,745.98,236.166,827.73,831.87,274.91,6119.4,26.0,22.69
78.27799999999999,516.09,701.67,218.39999999999998,560.52,803.75,285.13,7269.88,24.5,22.7
78.27799999999999,417.7099999999999,848.56,216.0,406.09,786.77,320.64,7129.97,26.0,21.62
63.25800000000001,1064.81,879.98,279.0,735.03,1110.07,361.19,7718.29,30.0,29.31
63.25800000000001,788.12,904.43,196.154,651.48,1103.82,376.44,9751.96,26.0,27.67
30.951999999999998,789.13,869.07,194.154,503.49,1109.74,441.55,10056.16,29.0,27.45
34.828,430.22,782.64,241.60000000000002,594.24,811.45,219.15,5524.23,25.0,17.96
40.758,355.26,756.02,322.59999999999997,488.62,760.96,222.99,6659.24,28.0,18.24
62.192,229.96000000000004,693.16,379.2,303.65,784.74,256.15,6838.21,23.0,17.4
78.27800000000002,885.19,768.24,176.232,733.52,1004.9,308.49,7646.83,24.0,25.0
64.714,821.98,793.12,133.168,641.42,890.36,270.19,7396.96,23.0,23.67
65.082,674.37,1048.91,288.40000000000003,311.04,884.25,321.0,7394.19,22.0,22.85
78.27799999999999,393.27,755.15,332.59999999999997,557.17,850.23,235.6,7365.88,27.0,19.43
115.17,387.7900000000001,727.65,146.968,733.16,801.5,214.61,7642.52,26.0,18.85
78.27799999999999,340.49,888.71,257.59999999999997,291.64,768.85,247.73,7438.97,30.0,17.49
78.27800000000002,460.26,799.23,300.2,626.38,1015.95,372.87,7161.51,30.0,23.47
78.27800000000002,472.77,858.16,289.59999999999997,588.61,915.34,334.44,7117.76,29.0,23.29
78.27800000000002,355.93999999999994,752.09,254.966,1880.61,917.5,391.2,7082.38,28.0,21.44
78.27799999999999,383.13,1339.62,309.8,542.79,828.3,229.52,7175.86,32.0,18.93
29.664,963.57,1222.64,137.266,815.09,1093.82,585.88,8928.42,30.0,39.65
35.332,738.5,226.87,220.4,1265.08,1011.7,674.29,8396.81,31.0,38.06
47.30200000000001,725.67,846.81,271.6,623.45,1338.83,422.09,7076.99,23.0,45.3
