soil,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
coloma,3.5243185,365.68726,955.15985,25.97218,390.9012,595.7963,350.1805,7424.524,30.673697,19.930098
coloma,4.2119255,462.73724,988.0178,28.27851,425.91507,741.88153,350.79956,7153.8267,27.911537,21.77845
coloma,3.4051301,357.77838,954.9756,25.103626,377.31915,584.15424,348.41483,7447.2617,30.712746,19.800678
coloma,3.7189157,405.64383,977.298,26.39545,398.2731,649.3818,351.16376,7310.845,29.649881,20.745918
coloma,3.7961457,382.98447,951.17004,27.879314,418.59396,621.9452,352.80365,7348.399,30.568213,20.205355
coloma,3.5179918,361.99365,948.3876,26.190342,394.11075,585.07904,350.85986,7392.8066,30.88519,19.788813
coloma,3.5528486,365.26218,950.86566,26.26332,394.96478,594.42554,350.37384,7395.2124,30.747883,19.903093
coloma,3.972615,397.90018,959.4404,28.78419,432.59595,651.4516,354.08044,7357.742,30.23945,20.5415
coloma,3.2911131,346.81177,947.55963,24.649967,371.22733,558.6845,348.5576,7437.6562,31.041552,19.499744
coloma,3.7475114,385.36377,964.38165,27.160732,408.04514,635.466,351.5098,7418.637,30.207369,20.370316
coloma,3.5700061,365.83002,947.0151,26.567812,399.8086,590.31,351.23038,7372.636,30.883717,19.8426
coloma,3.3440068,349.55154,946.71454,25.06522,377.78445,563.3253,349.12622,7421.665,31.058935,19.544088
coloma,3.4250371,356.83813,951.9262,25.384953,382.3256,580.49603,349.24335,7429.435,30.824762,19.760832
coloma,4.0862927,401.25714,955.5609,29.86396,451.51498,650.79114,356.67242,7323.5596,30.460016,20.542923
coloma,3.82793,383.42838,954.7121,28.239748,427.41086,620.64905,354.74353,7370.01,30.674688,20.212378
coloma,4.138969,404.73422,962.1219,30.053484,456.3157,662.2844,356.951,7349.123,30.323074,20.686705
coloma,4.04392,398.05353,953.95496,29.66411,448.45218,643.7994,356.5927,7324.155,30.539791,20.46407
coloma,3.9403055,391.50186,957.9532,28.89295,438.09525,635.72516,355.68735,7366.077,30.54994,20.390991
coloma,4.0137877,395.3849,957.8235,29.395868,445.72113,643.58453,356.33063,7351.1685,30.509363,20.47147
coloma,3.780605,381.6299,953.72986,27.813738,419.16373,619.4026,353.55478,7367.5786,30.607035,20.186111
coloma,3.7399116,379.8629,959.16364,27.44132,414.8054,619.532,353.1654,7403.7646,30.5491,20.200043
coloma,3.5695612,367.15265,954.8178,26.329124,397.42596,597.97516,350.9699,7414.6606,30.71602,19.960396
coloma,3.1953728,343.37802,947.5762,23.80206,356.03302,555.07996,346.27252,7454.7676,30.920826,19.466543
coloma,3.231335,350.15512,960.051,23.817904,357.4014,571.99194,346.5307,7505.161,30.650764,19.668955
coloma,2.9458888,327.34045,952.6838,21.96103,328.76062,531.8277,342.87393,7535.148,30.96192,19.209896
coloma,4.044876,397.70746,956.7803,29.584448,447.808,646.6857,356.38818,7338.408,30.488121,20.495607
coloma,3.6598895,371.68317,952.8773,27.158611,411.01395,600.6094,353.15662,7392.8545,30.823832,19.982054
coloma,3.9749222,394.463,962.25006,29.008772,440.66888,645.4671,355.74603,7376.6055,30.419239,20.495275
coloma,3.7542136,385.22836,961.6351,27.344206,411.10944,630.0051,352.48648,7410.4927,30.329939,20.321146
coloma,3.9269507,396.47815,964.321,28.463337,429.32422,649.192,354.3272,7392.8325,30.221142,20.53468
coloma,3.866266,394.44272,965.26764,27.874329,419.14053,649.4983,352.38632,7399.829,30.115196,20.532837
coloma,3.6419523,371.5628,956.5131,26.929733,408.12088,602.6545,352.83493,7414.571,30.752382,20.017225
coloma,4.165265,446.70804,985.3707,28.844135,438.97647,711.70355,354.61026,7209.6255,28.880007,21.511015
coloma,3.407042,354.40063,950.70844,25.458021,385.2591,571.2401,350.30936,7433.9062,31.012085,19.656988
coloma,3.1928742,338.84763,944.0522,23.950186,359.51727,547.58075,346.90027,7441.4976,31.091808,19.376596
coloma,3.3165753,348.3508,947.8964,24.752481,372.41837,563.77795,348.38306,7433.8643,30.983042,19.565052
coloma,3.2948134,344.73178,946.9778,24.704327,372.04123,558.2039,349.18417,7435.385,31.075716,19.482824
coloma,3.225622,341.5731,948.06256,24.275625,367.72357,549.05194,347.94647,7454.46,31.192991,19.38157
coloma,2.6070259,302.93124,939.56635,19.43245,285.03427,493.21442,334.55307,7543.2817,31.061684,18.70047
coloma,2.4686522,288.69925,921.6049,18.886282,275.63623,462.70532,333.9083,7485.406,31.366276,18.317917
coloma,3.232976,352.9912,948.1041,23.682726,346.97708,580.7552,342.74127,7422.6777,30.336233,19.704103
coloma,2.6459744,306.62445,935.17896,19.896269,290.63364,495.79504,335.49884,7499.3584,31.027813,18.717804
coloma,2.8781872,326.6473,940.3768,21.347467,310.81717,534.66223,337.76852,7462.9155,30.643631,19.160828
coloma,4.0440135,397.55795,958.63336,29.596622,449.13568,646.91895,356.5278,7349.3486,30.495777,20.50231
coloma,3.940023,392.5722,961.08826,28.789675,437.30392,639.5157,355.15625,7379.217,30.483486,20.430796
coloma,3.7140393,375.17075,952.6975,27.567587,417.25204,605.7229,353.87753,7381.0903,30.80697,20.032833
coloma,3.3503013,351.3515,951.31195,24.8396,373.87604,572.9285,348.06223,7442.8184,30.854053,19.682257
coloma,3.3027036,351.75046,955.0,24.427397,366.43912,573.73456,347.5029,7469.0815,30.735514,19.689035
coloma,3.1771045,343.469,954.10974,23.516232,351.9405,561.73236,345.59473,7489.0327,30.760548,19.54883
coloma,2.5657272,300.06335,929.55084,19.543482,286.23663,480.92975,335.87384,7496.3877,31.169329,18.570784
coloma,2.645274,324.79843,952.0073,19.004139,275.40424,532.2348,330.70612,7512.866,29.975965,19.109413
coloma,2.4537807,304.01895,933.368,18.191355,261.755,491.337,328.82248,7499.7583,30.536367,18.651646
coloma,3.410733,356.22034,950.9921,25.29544,380.38638,579.1496,349.17697,7427.0405,30.819212,19.74292
coloma,2.9536114,322.80566,943.9034,22.255014,334.05328,519.5757,343.89517,7495.309,31.230652,19.05656
coloma,3.205697,345.97516,952.86383,23.66028,352.87897,565.8861,345.31232,7474.573,30.717556,19.58311
coloma,3.29555,348.6409,951.23676,24.41063,366.72803,568.51056,347.1719,7452.2153,30.845406,19.626259
coloma,3.148743,341.12878,955.48596,23.33434,350.0812,556.4931,345.54178,7504.186,30.831614,19.489288
coloma,2.8394713,315.77023,945.9691,21.296743,318.62335,512.678,341.25375,7530.5938,31.16508,18.978283
coloma,3.234466,348.71457,943.49036,23.654135,347.86133,566.19086,343.5092,7429.886,30.643404,19.573383
coloma,3.1315835,343.192,954.8851,23.167587,345.6659,559.39276,344.83643,7499.2246,30.710302,19.52218
coloma,3.1011848,344.36008,942.84,22.521433,325.67917,558.6181,340.83112,7442.288,30.469246,19.416264
coloma,3.2707653,346.7644,933.8188,24.018278,352.5673,559.26105,343.64587,7379.907,30.808363,19.485754
coloma,2.9919765,330.91708,925.9552,21.885921,315.6719,529.9072,337.47214,7397.27,30.82558,19.11227
coloma,3.1034071,336.92917,941.63043,22.864452,336.431,546.37134,342.63928,7453.1323,30.83492,19.332527
coloma,2.2990832,290.4018,913.35254,16.84502,234.90858,463.63812,323.03772,7455.8403,30.645533,18.235065
coloma,2.2147636,295.96643,941.1493,15.841152,224.99904,482.49564,319.34134,7537.0386,29.89601,18.475563
coloma,2.1277409,300.15933,919.45056,14.778206,201.47513,484.22354,310.88892,7405.14,28.988075,18.377142
coloma,2.9735641,324.37027,943.92847,22.322718,334.41574,524.7406,343.65976,7491.1094,31.158484,19.124598
coloma,2.9112728,328.5733,952.2521,21.598583,320.26608,535.06067,341.2435,7533.321,30.792843,19.229136
coloma,3.060461,344.4117,955.0658,22.31477,329.03754,565.8889,341.1092,7489.751,30.345387,19.562197
coloma,2.9464476,326.9896,922.6831,21.895618,315.61963,525.6305,338.7089,7379.2656,30.864916,19.049515
coloma,2.7500327,318.66452,932.94885,20.611095,298.83383,515.14545,336.57617,7454.7017,30.788633,18.942047
coloma,2.5420907,299.98514,924.51886,19.174648,277.13098,483.66858,332.9541,7470.131,31.04544,18.562508
coloma,3.0196226,331.72824,939.6098,22.785948,338.07187,534.5245,344.03262,7442.6387,30.973433,19.205011
coloma,2.8926973,330.08994,944.80164,21.677492,318.85797,532.89246,340.81067,7482.2363,30.727932,19.181961
coloma,2.905331,329.18954,942.6894,21.709248,318.8616,534.1282,340.33618,7472.675,30.73388,19.190912
coloma,14.582347,1593.7843,1033.496,49.39613,619.44904,2500.7751,323.20062,5617.3193,1.5279913,35.585316
coloma,13.665854,1560.3188,1020.1903,46.766644,580.02594,2427.5334,319.47455,5577.9897,1.5277216,34.92547
coloma,14.28168,1600.0199,1032.47,48.000507,598.8433,2495.7266,320.6837,5596.7847,1.4332093,35.56201
coloma,12.759622,1491.0223,1005.3562,45.29031,561.4901,2309.0637,320.3709,5553.4204,1.8247172,33.793663
coloma,12.514623,1498.4398,1008.1508,43.94309,542.8879,2320.5845,317.73264,5558.3936,1.6841005,33.88968
coloma,13.322632,1540.1758,1016.20496,46.161343,574.1229,2393.7947,319.87924,5579.091,1.6164883,34.60365
coloma,13.705837,1574.0385,1029.6681,46.445286,577.822,2460.7236,319.15268,5609.282,1.4502231,35.25296
coloma,13.478292,1569.1171,1022.108,45.663506,564.82794,2438.6,317.29117,5580.127,1.4321028,35.024757
coloma,13.557158,1573.8221,1024.6879,45.91627,569.39307,2449.1978,317.9049,5588.855,1.43342,35.113384
coloma,14.635934,1584.6372,1032.5808,50.058956,630.51624,2487.4646,324.79013,5624.4375,1.6178916,35.520943
coloma,13.851308,1569.3242,1022.2345,47.284077,589.45026,2442.9329,320.38315,5588.615,1.5372883,35.08534
coloma,10.125234,1456.9983,1007.8589,34.834805,416.29807,2246.996,300.99545,5540.05,1.2151142,33.061672
coloma,12.441023,1581.3234,1030.4335,40.687767,491.844,2463.5652,308.41592,5619.4766,1.1081706,35.21782
coloma,11.8395605,1553.8402,1022.81836,39.367863,479.5016,2403.9624,307.4349,5588.8643,1.1732881,34.72199
coloma,12.243832,1570.7803,1026.0437,40.517887,495.2966,2434.8792,308.89832,5597.312,1.1794045,34.99231
coloma,13.506391,1581.3547,1027.0266,45.46042,563.59564,2461.608,316.99246,5596.6733,1.3843552,35.232124
coloma,13.974828,1585.5425,1028.176,47.26932,590.19244,2473.1257,319.97882,5605.2793,1.4744295,35.362213
coloma,14.273544,1599.7198,1031.3541,47.968643,599.8749,2498.6814,320.55502,5610.839,1.4515626,35.5838
coloma,14.773092,1595.8589,1030.0093,50.25927,632.9657,2497.222,324.2933,5612.586,1.596095,35.586914
coloma,14.172331,1589.8569,1029.1641,47.92773,597.83875,2482.6726,320.58633,5598.787,1.4708811,35.411377
coloma,14.575184,1593.4446,1030.1006,49.496387,622.03314,2492.7017,323.21414,5613.9995,1.5642866,35.551376
coloma,15.456285,1679.3599,1054.3918,49.048042,616.7434,2646.4058,320.1263,5681.39,1.1907855,36.95097
