soil,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
coloma,29.823541756606552,419.87,804.03,257.15843422762003,515.05,780.6,121.56,5051.98,25.0,12.91
coloma,32.12810666300966,208.52,786.14,271.3292033987112,529.51,703.99,124.32,5216.4,22.0,13.13
coloma,34.42681868552993,238.36,830.66,287.86836586523094,538.74,740.49,119.71,5576.26,25.0,12.64
coloma,44.852532526168716,745.59,998.71,241.81617373544253,773.41,979.43,334.24,8763.05,25.0,24.04
coloma,50.18134213301061,389.61,894.39,288.9487736274068,877.96,861.91,330.23,8656.71,24.0,22.61
coloma,51.34155278001941,512.21,928.0,288.2980583316023,768.97,911.85,327.07,9602.03,26.0,23.44
coloma,31.942520250075496,568.84,768.24,252.07580650549062,564.41,861.41,144.8,5622.18,26.0,17.06
coloma,33.20992178675591,301.18,846.81,266.5844975562238,555.73,763.14,141.79,5594.85,22.0,17.67
coloma,42.10383211119627,328.22,855.1,290.5598388116631,879.46,816.55,137.74,6121.36,25.0,16.41
coloma,40.36408010624038,588.96,854.67,294.7305357490509,706.41,890.68,290.73,6825.35,32.0,21.92
coloma,39.44806996926898,401.5,838.08,269.9351078415666,653.83,779.05,297.23,7043.61,24.0,20.95
coloma,43.26019267887027,441.49,969.9,269.5127254118781,800.17,809.84,287.32,7456.93,24.0,21.1
coloma,28.720334243962704,432.23,739.43,230.9742657078604,529.42,780.92,188.77,5177.73,20.0,18.94
coloma,33.226580052709394,99.71,726.77,292.0477679133033,495.16,699.39,188.95,5352.57,22.0,17.58
coloma,37.07811263008661,128.29,617.65,284.6933151712406,633.38,751.65,185.33,5835.43,20.0,18.06
coloma,42.85512443482188,647.63,942.4,259.52361664896694,733.98,924.89,310.1,7998.74,27.0,20.74
coloma,45.26086458088449,334.82,780.03,301.04558736778597,568.49,840.73,295.44,8465.19,26.0,19.74
coloma,48.59202701711796,469.93,813.2,303.1079252043301,733.9,844.1,306.77,8685.51,29.0,20.61
coloma,35.230940387439134,789.13,811.45,231.08198580205848,597.11,1047.54,233.43,6998.77,26.0,20.06
coloma,36.652079448449214,538.49,872.13,237.8025111309833,479.82,965.61,230.5,7645.65,21.0,19.57
coloma,50.113820359605256,694.56,909.67,251.0935310855121,1098.65,1043.31,237.09,8308.73,24.0,20.52
coloma,39.38118865141044,652.76,959.86,247.98277675828965,684.68,1036.39,334.6,7533.4,25.0,23.02
coloma,38.75,541.13,910.54,250.5630355343369,791.95,978.03,328.8,8274.46,26.0,22.24
coloma,45.61642864974207,516.7,1055.02,271.7842826049917,718.3,933.71,336.77,8611.37,25.0,22.6
coloma,34.221489497287614,947.88,893.66,198.44086282698578,813.7,963.9,315.16,6469.25,24.67,25.75
coloma,38.482553746920544,743.94,931.05,229.9720791498009,703.62,933.42,324.51,7523.01,24.0,26.29
coloma,41.00288529341915,628.67,918.83,260.78551633970676,773.41,906.81,307.92,7289.38,26.0,26.22
coloma,117.4,784.18,1013.55,492.7411213492375,974.92,1025.92,345.87,7087.84,23.0,26.93
coloma,40.97533260252796,562.83,975.14,269.25941841974685,657.01,914.91,350.1,7725.97,26.0,26.54
coloma,91.06,514.44,924.51,421.19985067966576,1419.95,925.17,338.33,7824.35,27.0,26.02
coloma,29.86929259850097,695.47,890.9,233.7221490227676,628.63,821.75,266.73,5361.59,26.0,25.19
coloma,35.3155288757103,434.15,778.28,288.9534318522392,532.72,763.1,272.25,6198.13,28.0,24.57
coloma,33.16540260926729,369.89,848.56,281.7624571038226,401.85,766.26,322.29,6383.61,26.0,24.63
coloma,32.56969581050117,733.77,884.35,214.80630951501337,684.37,848.41,277.41,6153.92,23.0,24.81
coloma,40.484153253477324,565.75,836.33,290.3613121858726,626.05,834.42,282.44,7271.42,30.0,24.78
coloma,38.15186098169843,459.62,897.01,251.28470024623311,506.36,876.87,347.02,7829.4,21.0,25.97
coloma,33.19958783918899,586.22,1005.26,267.868165706754,670.68,864.37,257.73,5483.04,29.0,22.41
coloma,39.04546956911075,386.72,965.54,311.19079217731826,596.71,849.51,266.74,6591.02,30.0,22.79
coloma,38.49710076809221,432.92,863.83,290.0524841134437,517.95,941.69,330.11,7227.84,27.0,24.19
coloma,28.666949581077162,677.9,811.02,231.1977980342782,565.82,914.14,201.99,5230.24,26.0,17.78
coloma,35.03651133886052,434.74,706.26,282.972101529521,490.29,891.32,200.48,6289.37,27.0,18.67
coloma,31.353831181437172,273.98,811.45,273.3402964627578,344.97,870.62,222.5,6060.42,23.0,16.66
coloma,29.58472578532836,691.17,776.97,237.03926892103786,596.07,954.5,189.77,5230.21,27.0,16.92
coloma,34.95462386839633,449.5,763.44,273.6121292946627,504.49,921.37,197.12,6367.78,26.0,17.21
coloma,32.22719169047748,232.68,694.47,292.60386159500723,331.79,876.92,212.3,5977.22,25.0,16.01
coloma,36.70916965405675,695.19,745.98,239.97415106544724,827.73,831.87,274.91,6119.4,26.0,22.69
coloma,37.97586099368849,516.09,701.67,259.991389067118,560.52,803.75,285.13,7269.88,24.5,22.7
coloma,35.546001590531425,417.71,848.56,275.1038559742927,406.09,786.77,320.64,7129.97,26.0,21.62
coloma,38.434955981350434,1064.81,879.98,226.62961468295833,735.03,1110.07,361.19,7718.29,30.0,29.31
coloma,46.73370024044871,788.12,904.43,253.03780319082352,651.48,1103.82,376.44,9751.96,26.0,27.67
coloma,45.784571590806415,789.13,869.07,266.64544460302477,503.49,1109.74,441.55,10056.16,29.0,27.45
coloma,32.746056830372716,430.22,782.64,262.8986708734398,594.24,811.45,219.15,5524.23,25.0,17.96
coloma,37.29553803618775,355.26,756.02,297.1336020248485,488.62,760.96,222.99,6659.24,28.0,18.24
coloma,34.1502428102228,229.96,693.16,281.7562466981455,303.65,784.74,256.15,6838.21,23.0,17.4
coloma,38.33223373820518,885.19,768.24,211.9801752967765,733.52,1004.9,308.49,7646.83,24.0,25.0
coloma,36.00162539867569,821.98,793.12,208.71416819153188,641.42,890.36,270.19,7396.96,23.0,23.67
coloma,30.26827607916165,674.37,1048.91,212.25282621357354,311.04,884.25,321.0,7394.19,22.0,22.85
coloma,40.7626502290292,393.27,755.15,294.6709747086759,557.17,850.23,235.6,7365.88,27.0,19.43
coloma,115.17,387.79,727.65,541.6484460166978,733.16,801.5,214.61,7642.52,26.0,18.85
coloma,37.17688292159422,340.49,888.71,309.0405423015621,291.64,768.85,247.73,7438.97,30.0,17.49
coloma,40.80147339955571,460.26,799.23,305.4545252603773,626.38,1015.95,372.87,7161.51,30.0,23.47
coloma,39.46222523761083,472.77,858.16,294.33816518621757,588.61,915.34,334.44,7117.76,29.0,23.29
coloma,63.99149396829013,355.94,752.09,326.9230105649823,1880.61,917.5,391.2,7082.38,28.0,21.44
coloma,40.43633821429471,383.13,1339.62,318.53132084006614,542.79,828.3,229.52,7175.86,32.0,18.93
coloma,44.26237611983605,963.57,1222.64,249.52189895441018,815.09,1093.82,585.88,8928.42,30.0,39.65
coloma,54.44654722551981,738.5,226.87,296.95298280377915,1265.08,1011.7,674.29,8396.81,31.0,38.06
coloma,36.35893778596626,725.67,846.81,259.63396366000234,623.45,1338.83,422.09,7076.99,23.0,45.3
coloma,41.18788779735128,1070.2,813.64,268.88646916951416,702.91,1410.1,440.62,8172.89,30.0,52.46
coloma,44.89143204296538,727.42,760.38,283.4903114081916,910.15,1325.36,495.57,7738.6,25.0,49.31
coloma,33.637408632859334,235.0,824.99,297.88330278050586,438.42,877.48,163.59,5771.09,25.0,18.11
coloma,34.74488884091787,397.31,983.43,277.39578487027836,439.76,857.39,167.24,6564.19,25.0,20.08
coloma,38.75035664251202,363.9,740.74,303.32941137594685,614.79,840.47,186.0,6332.21,28.0,19.56
coloma,40.78923122815308,322.09,928.44,310.7325496282908,537.18,1074.7,356.97,7426.08,27.0,23.7
coloma,42.135186618705255,680.88,796.18,265.3375285369459,600.92,1097.21,373.57,8441.71,26.5,27.78
coloma,46.471739444759095,546.13,797.92,284.2503230227428,659.43,1153.04,441.8,9030.87,26.0,26.5
coloma,46.85869667626509,1060.05,41.62,261.9157551558153,738.76,1400.25,589.63,9477.76,31.0,37.8
coloma,46.32394460721781,1485.94,1159.34,172.30368090272145,836.55,1462.6,610.55,11015.62,26.0,43.48
coloma,48.993226105046176,1403.82,199.89,198.33986734511618,884.15,1463.04,719.02,10835.64,28.0,41.74
coloma,39.11031061580516,520.79,763.44,276.5154498597524,593.45,934.3,360.24,7309.47,27.0,23.87
coloma,43.61682693201501,766.23,883.48,282.1473035859139,662.07,994.85,376.61,8387.49,32.0,27.81
coloma,41.415701627101676,675.47,887.84,255.54469882056816,624.03,995.81,451.2,8406.11,26.0,28.68
coloma,39.57648343846774,456.74,935.42,283.91983999865124,519.06,926.73,397.24,7732.08,27.0,24.12
coloma,44.97381565992902,637.22,919.27,271.673956400886,589.68,971.9,408.76,9201.6,27.0,27.43
coloma,44.820860909613224,531.14,921.45,299.38721756809036,469.94,992.87,494.9,9329.99,30.0,26.39
coloma,38.1015775574732,606.88,861.21,181.0,639.43,1168.39,429.37,8463.83,27.0,24.3
coloma,44.23432308324067,914.54,764.75,238.03369829412296,635.4,1179.06,439.14,9517.67,27.0,28.05
coloma,83.67336077268962,665.76,769.99,277.0,2726.35,1187.17,524.49,9608.67,25.0,26.02
coloma,35.098806538352505,317.24,778.28,232.0,475.7,947.3,389.06,7326.43,28.0,23.42
coloma,46.05156995993229,504.93,886.97,350.0,517.02,988.64,391.5,8520.9,30.0,26.58
coloma,53.158085915910874,463.71,816.26,179.0,1447.78,982.75,474.47,8650.37,27.0,25.95
coloma,55.29969123138876,1521.61,303.69,287.0,1080.08,1668.02,749.32,10477.55,32.0,42.75
coloma,49.71808762005496,1931.37,1190.34,137.80197074711998,1073.75,1701.08,770.98,11940.64,29.0,49.84
coloma,70.08421474932891,1892.25,409.06,288.0,1650.25,1732.8,944.88,12369.65,27.0,48.59
coloma,43.76853051263024,706.82,869.94,284.7123905496902,684.67,1156.46,436.66,8319.74,31.0,26.07
coloma,51.64849390222491,1082.5,844.19,233.1837427258785,997.6,1263.71,490.7,10128.58,28.0,31.97
coloma,50.70270722832204,945.56,897.01,220.85173259394395,1045.75,1234.91,566.41,9834.4,24.0,30.43
coloma,34.88931395425921,847.2,295.83,178.0,817.95,1181.37,572.04,7007.72,29.0,34.11
coloma,45.16358767157635,1230.05,251.09,210.76683831253675,1082.29,1237.18,621.67,8418.52,28.0,40.42
coloma,44.9061560517829,1134.82,331.02,227.5010875167872,1059.68,1222.37,717.47,8271.08,30.0,38.95
coloma,42.82407718703341,793.53,90.78,260.3704801344812,667.98,1020.3,481.56,8357.33,28.0,30.92
coloma,48.800909795487,1224.91,151.85,207.25302567476936,940.74,1061.52,514.2,9904.84,27.0,36.25
coloma,46.63315304978296,942.59,256.0,230.55359636371946,846.95,976.86,570.11,9285.89,26.0,34.66
lobby,7.365362896752458,665.75,774.79,108.0901389068411,199.64,918.71,273.65,3221.17,5.44,34.98
lobby,9.74394669832752,768.03,104.66,101.0163828973443,220.76,845.73,288.87,3722.97,5.32,36.84
lobby,10.66,1035.92,260.14,51.84870013821393,581.68,875.56,279.42,3757.6,4.82,35.1
lobby,10.767514228147473,488.42,2.82,163.75577703105893,53.08,799.27,293.12,3580.72,9.4,35.45
lobby,11.67811075721687,684.07,217.68,141.81627481403552,193.55,816.78,302.54,3756.43,9.49,40.11
lobby,11.79495812036403,866.61,367.78,99.51528431828517,343.09,742.54,290.09,3874.31,8.61,34.72
lobby,13.568614453072342,502.53,701.46,131.03792920077174,194.23,760.48,331.56,4471.12,4.99,35.12
lobby,10.541117855055969,875.79,212.42,76.39396409173636,281.57,712.49,328.8,4180.4,4.78,36.79
lobby,14.385732792862711,891.81,412.79,80.23618684788765,511.69,719.61,328.25,4157.23,5.5,36.37
lobby,12.70578793785532,437.83,728.08,126.8359203786344,241.16,708.15,292.15,3954.45,5.0,26.74
lobby,14.715931705359043,803.81,214.21,89.32361252343466,406.22,763.61,313.03,4424.46,5.74,29.43
lobby,13.506143391537528,1234.99,411.14,96.81306105682907,496.07,911.22,320.96,4162.04,6.8,73.77
lobby,24.8003975024192,1101.23,427.53,172.0,495.95,989.72,442.22,6007.81,5.91,36.87
lobby,18.656313068177372,1234.11,688.85,51.10732912869784,563.16,950.19,465.86,6077.37,7.33,39.49
lobby,14.951692748251737,1372.19,775.28,19.09911244484269,604.3,905.7,465.13,5496.4,6.98,37.71
lobby,13.518634653102627,967.58,557.32,63.422114425538155,455.74,677.97,348.22,4566.11,5.56,34.78
lobby,14.710346448389746,896.65,544.99,65.25802946686238,542.24,671.18,343.42,4362.66,5.44,28.59
lobby,10.831637996240442,1067.67,577.91,38.76437697006922,483.7,772.43,328.83,4131.04,5.4,28.34
lobby,9.810976060268011,885.98,480.2,52.51221482444723,406.1,623.38,300.82,3769.06,5.05,23.73
lobby,11.335792964854669,846.05,492.28,73.12269675089098,421.93,625.24,297.98,3804.8,4.6,34.57
lobby,9.340031544525267,853.43,557.01,56.80360639230481,352.53,621.06,319.78,3859.7,5.06,24.78
lobby,-7.785464705460188,2521.29,640.38,-132.31516431320668,347.87,2800.19,284.64,3651.19,5.5,25.08
lobby,15.413681865356626,828.05,683.43,177.0,332.43,593.4,296.46,3787.49,5.59,24.99
lobby,27.336569913988633,834.78,680.75,361.0,441.08,612.74,292.97,3739.71,5.72,25.18
lobby,7.208965605936825,671.32,564.21,58.94878571204986,264.02,492.46,230.23,3382.37,2.83,18.53
lobby,11.163107427595417,804.38,592.03,47.16994473133317,499.11,573.59,232.83,3645.11,2.84,19.06
lobby,15.00912610367455,758.03,610.38,179.0,300.48,556.65,243.4,3629.13,2.87,19.27
lobby,9.950020096559719,854.24,756.78,58.756612123530736,387.6,597.12,251.39,3825.11,4.37,27.8
lobby,9.445810406316618,924.9,769.78,41.85941921563369,386.28,641.65,257.08,4000.37,4.53,22.04
lobby,9.459773832331429,876.48,773.24,47.066697358929225,395.88,600.68,249.34,3829.76,4.43,21.99
lobby,20.53,1070.15,689.58,87.96418695204878,748.71,2511.46,338.8,5637.97,3.96,26.82
lobby,20.84,1078.85,753.91,87.0486991686638,739.14,2435.7,338.88,5614.34,3.97,27.39
lobby,154.9863240042585,1433.0301557826908,790.94,206.60171077858985,9135.25,11.63,394.0,23.88,24.0,27.0
lobby,21.19,1152.62,1133.02,24.83,759.31,2308.48,342.02,6092.35,6.43,27.92
lobby,20.37,1141.22,1182.21,27.14,751.71,2306.34,342.37,6099.33,6.46,28.4
lobby,21.16,1212.81,1229.95,30.88,780.43,2315.63,349.23,6287.7,6.65,27.84
lobby,19.6,1229.0,1016.12,73.82086434296677,653.42,2605.08,201.33,5314.15,3.57,24.22
lobby,19.53,1257.57,1029.06,68.79176797356028,632.09,2482.15,202.36,5502.35,3.9,25.07
lobby,19.61,1250.62,1038.24,74.54696971135951,640.15,2506.45,201.11,5538.18,3.4,30.69
lobby,22.21,1269.44,1109.23,87.52651770128963,695.97,2804.48,261.69,5160.72,4.21,26.91
lobby,23.2,1297.23,1194.7,91.155827073828,689.62,2888.1,263.95,5135.92,4.01,28.41
lobby,23.48,1329.54,1278.47,3.32,714.31,2962.79,270.69,5153.39,4.46,27.68
lobby,25.2,1595.69,1660.55,50.76,846.51,2998.88,367.72,5733.36,7.69,34.15
lobby,28.43,1565.11,1676.18,41.19,879.02,2873.09,366.52,5869.33,6.87,34.84
lobby,25.56,1587.82,1727.08,45.95,864.72,3126.81,369.42,5870.26,7.19,34.45
lobby,25.79,1515.38,1548.5,44.67,727.79,2887.39,318.67,5795.5,7.15,27.16
lobby,30.12,1531.72,1552.6,42.53,812.74,2929.56,316.37,5785.85,6.9,26.9
lobby,24.92,1481.64,1547.21,38.75,687.5,2971.01,314.06,5701.52,6.45,26.74
lobby,23.88,1414.55,1838.01,89.14,833.72,3040.33,348.45,5555.72,8.61,31.72
lobby,24.61,1435.09,1849.47,99.48,869.29,2982.44,352.14,5520.12,9.14,32.4
lobby,23.78,1424.12,1874.73,99.19,866.25,3123.24,350.11,5479.07,8.98,31.4
lobby,23.33,1581.18,1312.68,14.79,601.62,3304.77,235.22,5251.83,4.97,27.14
lobby,22.1,1608.48,1300.22,13.52,634.33,3131.1,230.85,5239.69,4.04,27.61
lobby,22.68,1588.21,1321.86,17.61,606.78,3358.38,232.44,5267.49,4.43,27.12
lobby,32.41,1960.52,2284.09,106.06,1007.25,3898.69,501.73,7428.19,11.08,41.27
lobby,31.52,1922.2,2299.83,107.55,974.46,4195.29,493.59,7360.69,11.31,40.68
lobby,31.17,1946.79,2320.02,106.93,991.36,3905.12,497.76,7435.78,10.82,40.65
lobby,24.91,1581.12,1988.05,90.35,723.39,3833.65,363.7,5741.51,7.81,38.35
lobby,24.06,1581.56,2008.49,84.91,686.47,4097.38,368.94,5712.18,7.35,39.15
lobby,27.06,1614.31,2045.46,95.64,738.05,4196.0,368.07,5752.68,8.26,39.01
