soil,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
coloma,84.13962769485809,562.83,975.14,246.52380324106213,657.01,914.91,350.1,7725.97,26.0,26.54
coloma,91.06,514.44,924.51,276.50305123035446,1419.95,925.17,338.33,7824.35,27.0,26.02
coloma,73.9215864086239,695.47,890.9,227.02536672645485,628.63,821.75,266.73,5361.59,26.0,25.19
coloma,74.61884072834864,434.15,778.28,251.9033945804248,532.72,763.1,272.25,6198.13,28.0,24.57
coloma,73.44627889246433,369.89,848.56,257.73978445775066,401.85,766.26,322.29,6383.61,26.0,24.63
coloma,79.51904672601025,733.77,884.35,224.41787628965855,684.37,848.41,277.41,6153.92,23.0,24.81
coloma,80.69969452278275,565.75,836.33,239.03620561640352,626.05,834.42,282.44,7271.42,30.0,24.78
coloma,83.24172360680983,459.62,897.01,254.6214103782517,506.36,876.87,347.02,7829.4,21.0,25.97
coloma,74.2224946041018,586.22,1005.26,237.20675442297372,670.68,864.37,257.73,5483.04,29.0,22.41
coloma,76.7560674330423,386.72,965.54,257.18897834158133,596.71,849.51,266.74,6591.02,30.0,22.79
coloma,79.2173394701691,432.92,863.83,257.9420097271584,517.95,941.69,330.11,7227.84,27.0,24.19
coloma,73.33083151136844,677.9,811.02,221.945446435215,565.82,914.14,201.99,5230.24,26.0,17.78
coloma,75.4717890979864,434.74,706.26,247.6256435007577,490.29,891.32,200.48,6289.37,27.0,18.67
coloma,72.76909204981557,273.98,811.45,261.2284363666988,344.97,870.62,222.5,6060.42,23.0,16.66
coloma,73.78344627150148,691.17,776.97,221.44326692507542,596.07,954.5,189.77,5230.21,27.0,16.92
coloma,76.57865745442238,449.5,763.44,245.28047897802594,504.49,921.37,197.12,6367.78,26.0,17.21
coloma,71.66737469368584,232.68,694.47,265.81408629600674,331.79,876.92,212.3,5977.22,25.0,16.01
coloma,81.45930479439815,695.19,745.98,230.51105424732515,827.73,831.87,274.91,6119.4,26.0,22.69
coloma,81.55360483528483,516.09,701.67,242.89393609457426,560.52,803.75,285.13,7269.88,24.5,22.7
coloma,77.39600266435963,417.71,848.56,248.4798075754044,406.09,786.77,320.64,7129.97,26.0,21.62
coloma,85.62932269930803,1064.81,879.98,200.03459896697802,735.03,1110.07,361.19,7718.29,30.0,29.31
coloma,93.55157919758851,788.12,904.43,226.33607011921322,651.48,1103.82,376.44,9751.96,26.0,27.67
coloma,91.47011937661843,789.13,869.07,224.04790683885446,503.49,1109.74,441.55,10056.16,29.0,27.45
