B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
96.35229999999997,562.83,975.14,428.21,657.01,914.91,350.1,7725.97,26.0,26.54
91.06,514.44,924.51,410.03,1419.95,925.17,338.33,7824.35,27.0,26.02
75.75420000000001,695.47,890.9,396.78,628.63,821.75,266.73,5361.59,26.0,25.19
78.02340000000004,434.15,778.28,262.73830000000004,532.72,763.1,272.25,6198.13,28.0,24.57
80.42870000000002,369.89,848.56,255.3884,401.85,766.26,322.29,6383.61,26.0,24.63
77.92669999999997,733.77,884.35,413.35540000000003,684.37,848.41,277.41,6153.92,23.0,24.81
79.23490000000001,565.75,836.33,264.6655,626.05,834.42,282.44,7271.42,30.0,24.78
45.85340000000001,459.62,897.01,381.62,506.36,876.87,347.02,7829.4,21.0,25.97
77.57060000000003,586.22,1005.26,407.135,670.68,864.37,257.73,5483.04,29.0,22.41
82.60200000000006,386.72,965.54,390.43,596.71,849.51,266.74,6591.02,30.0,22.79
88.39680000000003,432.92,863.83,293.9287,517.95,941.69,330.11,7227.84,27.0,24.19
71.34609999999999,677.9,811.02,257.9992,565.82,914.14,201.99,5230.24,26.0,17.78
77.67760000000003,434.74,706.26,255.4627,490.29,891.32,200.48,6289.37,27.0,18.67
78.17579999999997,273.98,811.45,255.88,344.97,870.62,222.5,6060.42,23.0,16.66
68.9148,691.17,776.97,240.51139999999998,596.07,954.5,189.77,5230.21,27.0,16.92
80.3492,449.5,763.44,267.6444,504.49,921.37,197.12,6367.78,26.0,17.21
80.6137,232.68,694.47,254.89,331.79,876.92,212.3,5977.22,25.0,16.01
77.03890000000003,695.19,745.98,253.40869999999998,827.73,831.87,274.91,6119.4,26.0,22.69
89.55039999999997,516.09,701.67,287.38,560.52,803.75,285.13,7269.88,24.5,22.7
91.34300000000002,417.71,848.56,291.9484,406.09,786.77,320.64,7129.97,26.0,21.62
76.2891,1064.81,879.98,80.79600000000002,735.03,1110.07,361.19,7718.29,30.0,29.31
70.38189999999999,788.12,904.43,402.958,651.48,1103.82,376.44,9751.96,26.0,27.67
63.754300000000015,789.13,869.07,277.214,503.49,1109.74,441.55,10056.16,29.0,27.45
81.1946,430.22,782.64,272.82,594.24,811.45,219.15,5524.23,25.0,17.96
82.66950000000003,355.26,756.02,319.17,488.62,760.96,222.99,6659.24,28.0,18.24
86.70269999999996,229.96,693.16,340.17,303.65,784.74,256.15,6838.21,23.0,17.4
78.39839999999998,885.19,768.24,59.0863,733.52,1004.9,308.49,7646.83,24.0,25.0
73.93589999999999,821.98,793.12,107.78780000000002,641.42,890.36,270.19,7396.96,23.0,23.67
41.1077,674.37,1048.91,432.8,311.04,884.25,321.0,7394.19,22.0,22.85
89.18230000000005,393.27,755.15,303.37,557.17,850.23,235.6,7365.88,27.0,19.43
115.17,387.79,727.65,285.4184,733.16,801.5,214.61,7642.52,26.0,18.85
89.01750000000004,340.49,888.71,283.3388,291.64,768.85,247.73,7438.97,30.0,17.49
90.39479999999999,460.26,799.23,276.1346,626.38,1015.95,372.87,7161.51,30.0,23.47
86.05590000000002,472.77,858.16,269.8622,588.61,915.34,334.44,7117.76,29.0,23.29
91.55150000000003,355.94,752.09,266.04830000000004,1880.61,917.5,391.2,7082.38,28.0,21.44
90.73270000000002,383.13,1339.62,296.84,542.79,828.3,229.52,7175.86,32.0,18.93
62.40140000000001,963.57,1222.64,119.5175,815.09,1093.82,585.88,8928.42,30.0,39.65
64.88560000000003,738.5,226.87,233.1342,1265.08,1011.7,674.29,8396.81,31.0,38.06
78.67249999999994,725.67,846.81,241.2559,623.45,1338.83,422.09,7076.99,23.0,45.3
60.417000000000016,1070.2,813.64,104.52800000000005,702.91,1410.1,440.62,8172.89,30.0,52.46
82.95630000000001,727.42,760.38,284.81039999999996,910.15,1325.36,495.57,7738.6,25.0,49.31
80.5188,235.0,824.99,273.8304,438.42,877.48,163.59,5771.09,25.0,18.11
85.59949999999998,397.31,983.43,302.51,439.76,857.39,167.24,6564.19,25.0,20.08
78.40240000000001,363.9,740.74,262.72270000000003,614.79,840.47,186.0,6332.21,28.0,19.56
91.1576,322.09,928.44,386.0488,537.18,1074.7,356.97,7426.08,27.0,23.7
62.925,680.88,796.18,233.3224,600.92,1097.21,373.57,8441.71,26.5,27.78
67.50539999999998,546.13,797.92,216.78599999999997,659.43,1153.04,441.8,9030.87,26.0,26.5
61.25390000000002,1060.05,41.62,218.00510000000003,738.76,1400.25,589.63,9477.76,31.0,37.8
63.21199999999997,1485.94,1159.34,106.04270000000001,836.55,1462.6,610.55,11015.62,26.0,43.48
62.43689999999999,1403.82,199.89,222.25499999999997,884.15,1463.04,719.02,10835.64,28.0,41.74
86.8461,520.79,763.44,265.8,593.45,934.3,360.24,7309.47,27.0,23.87
66.5373,766.23,883.48,385.82199999999995,662.07,994.85,376.61,8387.49,32.0,27.81
63.660499999999985,675.47,887.84,384.0588,624.03,995.81,451.2,8406.11,26.0,28.68
90.37690000000002,456.74,935.42,398.04,519.06,926.73,397.24,7732.08,27.0,24.12
63.64650000000002,637.22,919.27,397.18440000000004,589.68,971.9,408.76,9201.6,27.0,27.43
65.0921,531.14,921.45,380.31880000000007,469.94,992.87,494.9,9329.99,30.0,26.39
64.7561,606.88,861.21,181.0,639.43,1168.39,429.37,8463.83,27.0,24.3
61.297300000000014,914.54,764.75,123.76140000000005,635.4,1179.06,439.14,9517.67,27.0,28.05
67.67999999999998,665.76,769.99,277.0,2726.35,1187.17,524.49,9608.67,25.0,26.02
89.05030000000002,317.24,778.28,232.0,475.7,947.3,389.06,7326.43,28.0,23.42
70.75910000000003,504.93,886.97,350.0,517.02,988.64,391.5,8520.9,30.0,26.58
74.22780000000003,463.71,816.26,179.0,1447.78,982.75,474.47,8650.37,27.0,25.95
68.71509999999998,1521.61,303.69,287.0,1080.08,1668.02,749.32,10477.55,32.0,42.75
68.31899999999997,1931.37,1190.34,110.14210000000004,1073.75,1701.08,770.98,11940.64,29.0,49.84
66.5483,1892.25,409.06,288.0,1650.25,1732.8,944.88,12369.65,27.0,48.59
66.22449999999999,706.82,869.94,333.3344,684.67,1156.46,436.66,8319.74,31.0,26.07
69.26559999999999,1082.5,844.19,109.34740000000004,997.6,1263.71,490.7,10128.58,28.0,31.97
69.43969999999997,945.56,897.01,116.36260000000001,1045.75,1234.91,566.41,9834.4,24.0,30.43
77.6618,847.2,295.83,178.0,817.95,1181.37,572.04,7007.72,29.0,34.11
61.34640000000001,1230.05,251.09,210.6911,1082.29,1237.18,621.67,8418.52,28.0,40.42
62.60820000000002,1134.82,331.02,244.68099999999995,1059.68,1222.37,717.47,8271.08,30.0,38.95
65.2222,793.53,90.78,199.1678,667.98,1020.3,481.56,8357.33,28.0,30.92
66.297,1224.91,151.85,205.88250000000005,940.74,1061.52,514.2,9904.84,27.0,36.25
62.2638,942.59,256.0,200.28490000000002,846.95,976.86,570.11,9285.89,26.0,34.66
14.665400000000018,665.75,774.79,261.46639999999996,199.64,918.71,273.65,3221.17,5.44,34.98
16.973200000000013,768.03,104.66,267.2889,220.76,845.73,288.87,3722.97,5.32,36.84
10.66,1035.92,260.14,258.7894999999999,581.68,875.56,279.42,3757.6,4.82,35.1
27.21580000000001,488.42,2.82,268.668,53.08,799.27,293.12,3580.72,9.4,35.45
17.803700000000013,684.07,217.68,260.098,193.55,816.78,302.54,3756.43,9.49,40.11
11.119200000000001,866.61,367.78,298.94599999999986,343.09,742.54,290.09,3874.31,8.61,34.72
25.738400000000016,502.53,701.46,243.00639999999996,194.23,760.48,331.56,4471.12,4.99,35.12
10.095199999999998,875.79,212.42,273.0124999999999,281.57,712.49,328.8,4180.4,4.78,36.79
10.769399999999996,891.81,412.79,251.10929999999982,511.69,719.61,328.25,4157.23,5.5,36.37
27.032800000000023,437.83,728.08,265.1364,241.16,708.15,292.15,3954.45,5.0,26.74
13.053500000000001,803.81,214.21,232.27469999999994,406.22,763.61,313.03,4424.46,5.74,29.43
11.838299999999998,1234.99,411.14,239.7245999999998,496.07,911.22,320.96,4162.04,6.8,73.77
14.185599999999999,1101.23,427.53,172.0,495.95,989.72,442.22,6007.81,5.91,36.87
11.992800000000004,1234.11,688.85,54.232,563.16,950.19,465.86,6077.37,7.33,39.49
8.216899999999999,1372.19,775.28,35.3661,604.3,905.7,465.13,5496.4,6.98,37.71
11.709700000000003,967.58,557.32,36.55050000000003,455.74,677.97,348.22,4566.11,5.56,34.78
12.090399999999999,896.65,544.99,40.5436,542.24,671.18,343.42,4362.66,5.44,28.59
13.354699999999998,1067.67,577.91,30.123300000000015,483.7,772.43,328.83,4131.04,5.4,28.34
13.271600000000003,885.98,480.2,101.00819999999996,406.1,623.38,300.82,3769.06,5.05,23.73
11.4339,846.05,492.28,199.06599999999997,421.93,625.24,297.98,3804.8,4.6,34.57
13.478200000000008,853.43,557.01,195.94959999999995,352.53,621.06,319.78,3859.7,5.06,24.78
14.614000000000008,2521.29,640.38,91.93849999999999,347.87,2800.19,284.64,3651.19,5.5,25.08
11.904000000000005,828.05,683.43,177.0,332.43,593.4,296.46,3787.49,5.59,24.99
11.729400000000005,834.78,680.75,361.0,441.08,612.74,292.97,3739.71,5.72,25.18
18.67790000000001,671.32,564.21,233.0778,264.02,492.46,230.23,3382.37,2.83,18.53
13.085300000000004,804.38,592.03,176.26140000000004,499.11,573.59,232.83,3645.11,2.84,19.06
18.715700000000016,758.03,610.38,179.0,300.48,556.65,243.4,3629.13,2.87,19.27
11.989800000000008,854.24,756.78,161.95769999999996,387.6,597.12,251.39,3825.11,4.37,27.8
11.676800000000007,924.9,769.78,81.84169999999997,386.28,641.65,257.08,4000.37,4.53,22.04
14.263300000000006,876.48,773.24,152.50189999999998,395.88,600.68,249.34,3829.76,4.43,21.99
20.53,1070.15,689.58,18.786100000000005,748.71,2511.46,338.8,5637.97,3.96,26.82
20.84,1078.85,753.91,17.416700000000002,739.14,2435.7,338.88,5614.34,3.97,27.39
78.1753,630.8761,790.94,263.318,9135.25,11.63,394.0,23.88,24.0,27.0
21.19,1152.62,1133.02,24.83,759.31,2308.48,342.02,6092.35,6.43,27.92
20.37,1141.22,1182.21,27.14,751.71,2306.34,342.37,6099.33,6.46,28.4
21.16,1212.81,1229.95,30.88,780.43,2315.63,349.23,6287.7,6.65,27.84
19.6,1229.0,1016.12,28.48740000000001,653.42,2605.08,201.33,5314.15,3.57,24.22
19.53,1257.57,1029.06,28.27350000000001,632.09,2482.15,202.36,5502.35,3.9,25.07
19.61,1250.62,1038.24,22.006099999999993,640.15,2506.45,201.11,5538.18,3.4,30.69
22.21,1269.44,1109.23,14.928699999999994,695.97,2804.48,261.69,5160.72,4.21,26.91
23.2,1297.23,1194.7,11.456800000000005,689.62,2888.1,263.95,5135.92,4.01,28.41
23.48,1329.54,1278.47,3.32,714.31,2962.79,270.69,5153.39,4.46,27.68
25.2,1595.69,1660.55,50.76,846.51,2998.88,367.72,5733.36,7.69,34.15
28.43,1565.11,1676.18,41.19,879.02,2873.09,366.52,5869.33,6.87,34.84
25.56,1587.82,1727.08,45.95,864.72,3126.81,369.42,5870.26,7.19,34.45
25.79,1515.38,1548.5,44.67,727.79,2887.39,318.67,5795.5,7.15,27.16
