id,name,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
78,coloma,28,2,NA,high,NA,NA,high,high,high,high,NA,high
79,coloma,28,3,NA,high,NA,NA,high,high,high,high,NA,high
80,coloma,29,1,NA,high,NA,NA,high,high,high,high,NA,high
81,coloma,29,2,NA,high,NA,NA,high,high,high,high,NA,high
82,coloma,29,3,NA,high,NA,NA,high,high,high,high,NA,high
83,coloma,30,1,NA,high,NA,NA,high,high,high,high,NA,optimum
84,coloma,30,2,NA,high,NA,NA,high,high,high,high,NA,optimum
85,coloma,30,3,NA,optimum,NA,NA,high,high,high,high,NA,optimum
86,coloma,31,1,NA,high,NA,NA,high,high,high,high,NA,high
87,coloma,31,2,NA,high,NA,NA,high,high,high,high,NA,high
88,coloma,31,3,NA,high,NA,NA,high,high,high,high,NA,high
89,coloma,32,1,NA,high,NA,NA,high,high,high,high,NA,optimum
90,coloma,32,2,high,high,NA,NA,high,high,high,high,NA,optimum
91,coloma,32,3,NA,high,NA,NA,high,high,high,high,NA,optimum
92,coloma,33,1,NA,high,NA,NA,high,high,high,high,NA,high
93,coloma,33,2,NA,high,NA,NA,high,high,high,high,NA,high
94,coloma,33,3,NA,high,NA,NA,high,high,high,high,NA,high
95,coloma,34,1,NA,high,NA,NA,high,high,high,high,NA,optimum
96,coloma,34,2,NA,high,NA,NA,high,high,high,high,NA,high
97,coloma,34,3,NA,high,high,NA,high,high,high,high,NA,high
98,coloma,35,1,NA,high,NA,NA,high,high,high,high,NA,high
99,coloma,35,2,NA,high,NA,NA,high,high,high,high,NA,high
100,coloma,35,3,NA,high,NA,NA,high,high,high,high,NA,high
101,coloma,36,1,NA,optimum,NA,NA,high,high,high,high,NA,optimum
102,coloma,36,2,NA,high,NA,NA,high,high,high,high,NA,high
103,coloma,36,3,NA,high,NA,NA,high,high,high,high,NA,optimum
104,coloma,37,1,NA,high,NA,NA,high,high,high,high,NA,high
105,coloma,37,2,NA,high,NA,NA,high,high,high,high,NA,high
106,coloma,37,3,NA,high,NA,NA,high,high,high,high,NA,high
107,coloma,38,1,NA,high,high,NA,high,high,high,high,NA,high
108,coloma,38,2,NA,high,NA,NA,high,high,high,high,NA,high
109,coloma,38,3,NA,high,high,NA,high,high,high,high,NA,high
110,coloma,39,1,NA,high,NA,NA,high,high,high,high,NA,high
111,coloma,39,2,NA,high,NA,NA,high,high,high,high,NA,high
112,coloma,39,3,NA,high,NA,NA,high,high,high,high,NA,high
113,coloma,40,1,NA,high,NA,NA,high,high,high,high,NA,high
114,coloma,40,2,NA,high,NA,NA,high,high,high,high,NA,high
115,coloma,40,3,NA,high,NA,NA,high,high,high,high,NA,high
116,coloma,41,1,NA,high,NA,NA,high,high,high,high,NA,high
117,coloma,41,2,NA,high,NA,NA,high,high,high,high,NA,high
118,coloma,41,3,NA,high,NA,NA,high,high,high,high,NA,high
119,coloma,42,1,NA,high,NA,NA,high,high,high,high,NA,high
120,coloma,42,2,NA,high,NA,NA,high,high,high,high,NA,high
121,coloma,42,3,NA,high,NA,NA,high,high,high,high,NA,high
122,coloma,43,1,NA,high,high,NA,high,high,high,high,NA,high
123,coloma,43,2,NA,high,NA,NA,high,high,high,high,NA,high
124,coloma,43,3,NA,high,high,NA,high,high,high,high,NA,high
125,coloma,44,1,NA,high,NA,NA,high,high,high,high,NA,high
126,coloma,44,2,NA,high,NA,NA,high,high,high,high,NA,high
127,coloma,44,3,NA,high,NA,NA,high,high,high,high,NA,high
128,coloma,45,1,NA,high,high,NA,high,high,high,high,NA,high
129,coloma,45,2,NA,high,high,NA,high,high,high,high,NA,high
130,coloma,45,3,NA,high,high,NA,high,high,high,high,NA,high
131,coloma,46,1,NA,high,high,NA,high,high,high,high,NA,high
132,coloma,46,2,NA,high,high,NA,high,high,high,high,NA,high
133,coloma,46,3,NA,high,high,NA,high,high,high,high,NA,high
134,lobby,1,1,NA,high,NA,NA,high,high,high,high,optimum,high
135,lobby,1,2,NA,high,high,NA,high,high,high,high,optimum,high
136,lobby,1,3,high,high,high,NA,high,high,high,high,optimum,high
137,lobby,2,1,NA,high,low,NA,low,high,high,high,high,high
138,lobby,2,2,NA,high,high,NA,high,high,high,high,high,high
139,lobby,2,3,NA,high,high,NA,high,high,high,high,high,high
140,lobby,3,1,NA,high,NA,NA,high,high,high,high,optimum,high
141,lobby,3,2,NA,high,high,NA,high,high,high,high,optimum,high
142,lobby,3,3,NA,high,high,NA,high,high,high,high,optimum,high
143,lobby,4,1,NA,high,NA,NA,high,high,high,high,optimum,high
144,lobby,4,2,NA,high,high,NA,high,high,high,high,high,high
145,lobby,4,3,NA,high,high,NA,high,high,high,high,high,high
146,lobby,5,1,NA,high,high,NA,high,high,high,high,high,high
147,lobby,5,2,NA,high,high,NA,high,high,high,high,high,high
148,lobby,5,3,NA,high,high,NA,high,high,high,high,high,high
149,lobby,6,1,NA,high,high,NA,high,high,high,high,high,high
150,lobby,6,2,NA,high,high,NA,high,high,high,high,optimum,high
151,lobby,6,3,NA,high,high,NA,high,high,high,high,optimum,high
152,lobby,7,1,NA,high,high,NA,high,high,high,high,optimum,high
153,lobby,7,2,NA,high,high,NA,high,high,high,high,optimum,high
154,lobby,7,3,NA,high,high,NA,high,high,high,high,optimum,high
155,lobby,8,1,NA,high,high,NA,high,NA,high,high,optimum,high
156,lobby,8,2,NA,high,high,NA,high,optimum,high,high,high,high
157,lobby,8,3,NA,high,high,NA,high,high,high,high,high,high
158,lobby,9,1,NA,high,high,NA,high,optimum,high,high,optimum,optimum
159,lobby,9,2,NA,high,high,NA,high,optimum,high,high,optimum,optimum
160,lobby,9,3,NA,high,high,NA,high,optimum,high,high,optimum,optimum
161,lobby,10,1,NA,high,high,NA,high,optimum,high,high,optimum,high
162,lobby,10,2,NA,high,high,NA,high,high,high,high,optimum,high
163,lobby,10,3,NA,high,high,NA,high,high,high,high,optimum,high
164,lobby,11,1,high,high,high,NA,high,NA,high,high,optimum,high
165,lobby,11,2,high,high,high,NA,high,NA,high,high,optimum,high
166,lobby,11,3,NA,NA,NA,NA,NA,low,NA,high,NA,NA
167,lobby,12,1,high,high,high,low,high,NA,high,high,high,high
168,lobby,12,2,high,high,high,low,high,NA,high,high,high,high
169,lobby,12,3,high,high,high,optimum,high,NA,high,high,high,high
170,lobby,13,1,high,high,high,NA,high,NA,high,high,optimum,high
171,lobby,13,2,high,high,high,NA,high,NA,high,high,optimum,high
172,lobby,13,3,high,high,high,NA,high,NA,high,high,optimum,high
173,lobby,14,1,high,high,high,NA,high,NA,high,high,optimum,high
174,lobby,14,2,high,high,high,NA,high,NA,high,high,optimum,high
175,lobby,14,3,high,high,high,low,high,NA,high,high,optimum,high
176,lobby,15,1,high,high,high,high,high,NA,high,high,high,high
177,lobby,15,2,high,high,high,high,high,NA,high,high,high,high
178,lobby,15,3,high,high,high,high,high,NA,high,high,high,high
179,lobby,16,1,high,high,high,high,high,NA,high,high,high,high
180,lobby,16,2,high,high,high,high,high,NA,high,high,high,high
181,lobby,16,3,high,high,high,optimum,high,NA,high,high,high,high
182,lobby,17,1,high,high,high,high,high,NA,high,high,high,high
183,lobby,17,2,high,high,high,high,high,NA,high,high,high,high
184,lobby,17,3,high,high,high,high,high,NA,high,high,high,high
185,lobby,18,1,high,high,high,low,high,NA,high,high,optimum,high
186,lobby,18,2,high,high,high,low,high,NA,high,high,optimum,high
187,lobby,18,3,high,high,high,low,high,NA,high,high,optimum,high
188,lobby,19,1,high,high,high,high,high,NA,high,high,high,high
189,lobby,19,2,high,high,high,high,high,NA,high,high,high,high
190,lobby,19,3,high,high,high,high,high,NA,high,high,high,high
191,lobby,20,1,high,high,high,high,high,NA,high,high,high,high
192,lobby,20,2,high,high,high,high,high,NA,high,high,high,high
193,lobby,20,3,high,high,high,high,high,NA,high,high,high,high
194,lobby,21,1,high,high,high,high,high,NA,high,high,optimum,high
195,lobby,21,2,high,high,high,high,high,NA,high,high,high,high
196,lobby,21,3,high,high,high,high,high,NA,high,high,high,high
197,lobby,22,1,high,high,high,low,high,NA,high,high,high,high
198,lobby,22,2,high,high,high,low,high,NA,high,high,high,high
199,lobby,22,3,high,high,high,low,high,NA,high,high,high,high
200,lobby,23,1,high,high,high,optimum,high,NA,high,high,high,high
201,lobby,23,2,high,high,high,low,high,NA,high,high,high,high
202,lobby,23,3,high,high,high,low,high,NA,high,high,high,high
203,lobby,24,1,high,high,high,high,high,NA,high,high,high,high
204,lobby,24,2,high,high,high,high,high,NA,high,high,high,high
205,lobby,24,3,high,high,high,high,high,NA,high,high,high,high
206,lobby,25,1,high,high,high,high,high,NA,high,high,high,high
207,lobby,25,2,high,high,high,high,high,NA,high,high,high,high
208,lobby,25,3,high,high,high,high,high,NA,high,high,high,high
209,lobby,26,1,high,high,high,high,high,NA,high,high,high,high
210,lobby,26,2,high,high,high,high,high,NA,high,high,high,high
211,lobby,26,3,high,high,high,high,high,NA,high,high,high,high
212,lobby,27,1,high,high,high,low,high,high,high,high,high,high
213,lobby,27,2,high,high,high,low,high,high,high,high,high,high
214,lobby,27,3,high,high,high,low,high,high,high,high,high,high
215,lobby,28,1,high,high,high,low,high,high,high,high,high,high
216,lobby,28,2,high,high,high,low,high,high,high,high,optimum,high
217,lobby,28,3,high,high,high,low,high,high,high,high,high,high
218,lobby,29,1,high,high,high,high,high,NA,high,high,high,high
219,lobby,29,2,high,high,high,high,high,NA,high,high,high,high
220,lobby,29,3,high,high,high,high,high,NA,high,high,high,high
221,lobby,30,1,high,high,high,low,high,NA,high,high,high,high
222,lobby,30,2,high,high,high,low,high,NA,high,high,high,high
223,lobby,30,3,high,high,high,low,high,NA,high,high,high,high
224,lobby,31,1,high,high,high,optimum,high,NA,high,high,high,high
225,lobby,31,2,high,high,high,high,high,NA,high,high,high,high
226,lobby,31,3,high,high,high,high,high,NA,high,high,high,high
227,lobby,32,1,high,high,high,high,high,NA,high,high,high,high
228,lobby,32,2,high,high,high,high,high,NA,high,high,high,high
229,lobby,32,3,high,high,high,high,high,NA,high,high,high,high
230,lobby,33,1,high,high,high,NA,high,high,high,high,optimum,high
231,lobby,33,2,high,high,high,NA,high,high,high,high,optimum,high
232,lobby,33,3,high,high,high,NA,high,high,high,high,optimum,high
233,lobby,34,1,high,high,high,NA,high,high,high,high,optimum,high
234,lobby,34,2,high,high,high,NA,high,high,high,high,optimum,high
235,lobby,34,3,high,high,high,NA,high,high,high,high,optimum,high
236,lobby,35,1,high,high,high,NA,high,high,high,high,optimum,high
237,lobby,35,2,high,high,high,NA,high,high,high,high,optimum,high
238,lobby,35,3,high,high,high,NA,high,high,high,high,optimum,high
239,lobby,36,1,high,high,high,NA,high,high,high,high,optimum,high
240,lobby,36,2,high,high,high,NA,high,high,high,high,optimum,high
241,lobby,36,3,high,high,high,NA,high,high,high,high,optimum,high
242,lobby,37,1,high,high,high,NA,high,high,high,high,high,high
243,lobby,37,2,high,high,high,NA,high,high,high,high,optimum,high
244,lobby,37,3,high,high,high,NA,high,high,high,high,optimum,high
245,lobby,38,1,high,high,high,NA,high,high,high,high,optimum,high
246,lobby,38,2,high,high,high,NA,high,high,high,high,optimum,high
247,lobby,38,3,high,high,high,NA,high,high,high,high,optimum,high
248,lobby,39,1,high,high,high,low,high,NA,high,high,high,high
249,lobby,39,2,high,high,high,low,high,NA,high,high,high,high
250,lobby,39,3,high,high,high,low,high,NA,high,high,high,high
251,lobby,40,1,high,high,high,optimum,high,NA,high,high,high,high
252,lobby,40,2,high,high,high,optimum,high,NA,high,high,high,high
253,lobby,40,3,high,high,high,optimum,high,NA,high,high,high,high
254,lobby,41,1,high,high,high,high,high,NA,high,high,high,high
255,lobby,41,2,high,high,high,high,high,NA,high,high,high,high
256,lobby,41,3,high,high,high,high,high,NA,high,high,high,high
257,lobby,42,1,high,high,high,high,high,NA,high,high,high,high
258,lobby,42,2,high,high,high,high,high,NA,high,high,high,high
259,lobby,42,3,high,high,high,high,high,NA,high,high,high,high
260,lobby,43,1,high,high,high,high,high,NA,high,high,high,high
261,lobby,43,2,high,high,high,high,high,NA,high,high,high,high
262,lobby,43,3,high,high,high,high,high,NA,high,high,high,high
263,lobby,44,1,high,high,high,high,high,NA,high,high,high,high
264,lobby,44,2,high,high,high,high,high,NA,high,high,high,high
265,lobby,44,3,high,high,high,high,high,NA,high,high,high,high
266,lobby,45,1,high,high,high,high,high,NA,high,high,high,high
267,lobby,45,2,high,high,high,high,high,NA,high,high,high,high
268,lobby,45,3,high,high,high,high,high,NA,high,high,high,high
269,lobby,46,1,high,high,high,NA,high,NA,high,high,optimum,high
270,lobby,46,2,optimum,high,high,NA,high,NA,high,high,optimum,high
271,lobby,46,3,optimum,high,high,NA,high,NA,high,high,high,high
272,lobby,47,1,optimum,high,high,low,high,NA,high,high,optimum,high
273,lobby,47,2,high,high,high,low,high,NA,high,high,optimum,high
274,lobby,47,3,high,high,high,low,high,NA,high,high,optimum,high
275,lobby,48,1,optimum,high,high,low,high,NA,high,high,optimum,high
276,lobby,48,2,optimum,high,high,low,high,NA,high,high,optimum,high
277,lobby,48,3,high,high,high,low,high,NA,high,high,optimum,high
278,lobby,49,1,optimum,high,high,low,high,NA,high,high,high,high
