soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
coloma,25,1,0.0,733.77,884.35,0.0,684.37,848.41,277.41,6153.92,23.0,24.81
coloma,25,2,0.0,565.75,836.33,0.0,626.05,834.42,282.44,7271.42,30.0,24.78
coloma,25,3,0.0,459.62,897.01,0.0,506.36,876.87,347.02,7829.4,21.0,25.97
coloma,26,1,0.0,586.22,1005.26,0.0,670.68,864.37,257.73,5483.04,29.0,22.41
coloma,26,2,0.0,386.72,965.54,0.0,596.71,849.51,266.74,6591.02,30.0,22.79
coloma,26,3,0.0,432.92,863.83,0.0,517.95,941.69,330.11,7227.84,27.0,24.19
coloma,27A,1,0.0,677.9,811.02,0.0,565.82,914.14,201.99,5230.24,26.0,17.78
coloma,27A,2,0.0,434.74,706.26,0.0,490.29,891.32,200.48,6289.37,27.0,18.67
coloma,27A,3,0.0,273.98,811.45,0.0,344.97,870.62,222.5,6060.42,23.0,16.66
coloma,27B,1,0.0,691.17,776.97,0.0,596.07,954.5,189.77,5230.21,27.0,16.92
coloma,27B,2,0.0,449.5,763.44,0.0,504.49,921.37,197.12,6367.78,26.0,17.21
coloma,27B,3,0.0,232.68,694.47,0.0,331.79,876.92,212.3,5977.22,25.0,16.01
coloma,28,1,0.0,695.19,745.98,0.0,827.73,831.87,274.91,6119.4,26.0,22.69
coloma,28,2,0.0,516.09,701.67,0.0,560.52,803.75,285.13,7269.88,24.5,22.7
coloma,28,3,0.0,417.71,848.56,0.0,406.09,786.77,320.64,7129.97,26.0,21.62
coloma,29,1,0.0,1064.81,879.98,0.0,735.03,1110.07,361.19,7718.29,30.0,29.31
coloma,29,2,0.0,788.12,904.43,0.0,651.48,1103.82,376.44,9751.96,26.0,27.67
coloma,29,3,0.0,789.13,869.07,0.0,503.49,1109.74,441.55,10056.16,29.0,27.45
coloma,30,1,0.0,430.22,782.64,0.0,594.24,811.45,219.15,5524.23,25.0,17.96
coloma,30,2,0.0,355.26,756.02,0.0,488.62,760.96,222.99,6659.24,28.0,18.24
coloma,30,3,0.0,229.96,693.16,0.0,303.65,784.74,256.15,6838.21,23.0,17.4
coloma,31,1,0.0,885.19,768.24,0.0,733.52,1004.9,308.49,7646.83,24.0,25.0
coloma,31,2,0.0,821.98,793.12,0.0,641.42,890.36,270.19,7396.96,23.0,23.67
coloma,31,3,0.0,674.37,1048.91,0.0,311.04,884.25,321.0,7394.19,22.0,22.85
coloma,32,1,0.0,393.27,755.15,0.0,557.17,850.23,235.6,7365.88,27.0,19.43
coloma,32,2,115.17,387.79,727.65,0.0,733.16,801.5,214.61,7642.52,26.0,18.85
coloma,32,3,0.0,340.49,888.71,0.0,291.64,768.85,247.73,7438.97,30.0,17.49
coloma,33,1,0.0,460.26,799.23,0.0,626.38,1015.95,372.87,7161.51,30.0,23.47
