id,soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
62,coloma,24,1,0.00,695.47,0.00,0.00,628.63,821.75,266.73,5361.59,0.00,25.19
63,coloma,24,2,0.00,434.15,0.00,0.00,532.72,763.10,272.25,6198.13,0.00,24.57
64,coloma,24,3,0.00,369.89,0.00,0.00,401.85,766.26,322.29,6383.61,0.00,24.63
65,coloma,25,1,0.00,733.77,0.00,0.00,684.37,848.41,277.41,6153.92,0.00,24.81
66,coloma,25,2,0.00,565.75,0.00,0.00,626.05,834.42,282.44,7271.42,0.00,24.78
67,coloma,25,3,0.00,459.62,0.00,0.00,506.36,876.87,347.02,7829.40,0.00,25.97
68,coloma,26,1,0.00,586.22,0.00,0.00,670.68,864.37,257.73,5483.04,0.00,22.41
69,coloma,26,2,0.00,386.72,0.00,0.00,596.71,849.51,266.74,6591.02,0.00,22.79
70,coloma,26,3,0.00,432.92,0.00,0.00,517.95,941.69,330.11,7227.84,0.00,24.19
71,coloma,27A,1,0.00,677.90,0.00,0.00,565.82,914.14,201.99,5230.24,0.00,17.78
72,coloma,27A,2,0.00,434.74,0.00,0.00,490.29,891.32,200.48,6289.37,0.00,18.67
73,coloma,27A,3,0.00,273.98,0.00,0.00,344.97,870.62,222.50,6060.42,0.00,16.66
74,coloma,27B,1,0.00,691.17,0.00,0.00,596.07,954.50,189.77,5230.21,0.00,16.92
75,coloma,27B,2,0.00,449.50,0.00,0.00,504.49,921.37,197.12,6367.78,0.00,17.21
76,coloma,27B,3,0.00,232.68,0.00,0.00,331.79,876.92,212.30,5977.22,0.00,16.01
77,coloma,28,1,0.00,695.19,0.00,0.00,827.73,831.87,274.91,6119.40,0.00,22.69
78,coloma,28,2,0.00,516.09,0.00,0.00,560.52,803.75,285.13,7269.88,0.00,22.70
79,coloma,28,3,0.00,417.71,0.00,0.00,406.09,786.77,320.64,7129.97,0.00,21.62
80,coloma,29,1,0.00,1064.81,0.00,0.00,735.03,1110.07,361.19,7718.29,0.00,29.31
81,coloma,29,2,0.00,788.12,0.00,0.00,651.48,1103.82,376.44,9751.96,0.00,27.67
82,coloma,29,3,0.00,789.13,0.00,0.00,503.49,1109.74,441.55,10056.16,0.00,27.45
83,coloma,30,1,0.00,430.22,0.00,0.00,594.24,811.45,219.15,5524.23,0.00,17.96
84,coloma,30,2,0.00,355.26,0.00,0.00,488.62,760.96,222.99,6659.24,0.00,18.24
85,coloma,30,3,0.00,229.96,0.00,0.00,303.65,784.74,256.15,6838.21,0.00,17.40
86,coloma,31,1,0.00,885.19,0.00,0.00,733.52,1004.90,308.49,7646.83,0.00,25.00
87,coloma,31,2,0.00,821.98,0.00,0.00,641.42,890.36,270.19,7396.96,0.00,23.67
88,coloma,31,3,0.00,674.37,0.00,0.00,311.04,884.25,321.00,7394.19,0.00,22.85
89,coloma,32,1,0.00,393.27,0.00,0.00,557.17,850.23,235.60,7365.88,0.00,19.43
90,coloma,32,2,115.17,387.79,0.00,0.00,733.16,801.50,214.61,7642.52,0.00,18.85
91,coloma,32,3,0.00,340.49,0.00,0.00,291.64,768.85,247.73,7438.97,0.00,17.49
92,coloma,33,1,0.00,460.26,0.00,0.00,626.38,1015.95,372.87,7161.51,0.00,23.47
93,coloma,33,2,0.00,472.77,0.00,0.00,588.61,915.34,334.44,7117.76,0.00,23.29
94,coloma,33,3,0.00,355.94,0.00,0.00,1880.61,917.50,391.20,7082.38,0.00,21.44
